,id,counts
0,UCsvqVGtbbyHaMoevxPAq9Fg,884
1,UCKWaEZ-_VweaEx1j62do_vQ,1078
2,UC8butISFwT-Wl7EV0hUK0BQ,832
3,UCsBjURrPoezykLs9EqgamOA,14
4,UCX6b17PVsYBQ0ip5gyeme-Q,718
5,UCJS9pqu9BzkAMNTmzNMNhvg,475
6,UCor_kFLwhSPubDOkuFFWNXA,784
7,UCftwRNsjfRo08xYE31tkiyw,30
8,UCWv7vMbMWH4-V0ZXdmDpPBA,11
9,UC68KSmHePPePCjW4v57VPQg,394
10,UCEBb1b_L6zDS3xTUrIALZOw,27
11,UCYO_jab_esuFRV4b17AJtAw,2643
12,UC4JX40jDee_tINbkjycV4Sg,489
13,UCkw4JCwteGrDHIsyIIKo4tQ,387
14,UCY5NDinr2975LghozXAeTWQ,159
15,UCtatfZMf-8EkIwASXM4ts0A,194
16,UCYgL81lc7DOLNhnel1_J6Vg,20
17,UCBa5G_ESCn8Yd4vw5U-gIcg,1715
18,UCn8ujwUInbJkBhffxqAPBVQ,182
19,UCpCSAcbqs-sjEVfk_hMfY9w,34
20,UCLLw7jmFsvfIVaUFsLs8mlQ,196
21,UCJIfeSCssxSC_Dhc5s7woww,1195
22,UCNU_lfiiWBdtULKOw6X0Dig,291
23,UCFuIUoyHB12qpYa8Jpxoxow,127
24,UCelp2mfpa0fors7HePAodoA,755
25,UCBwmMxybNva6P_5VmxjzwqA,24
26,UCkcqmxjMXaBb0kDWqqSEU1g,118
27,UCeYUHG6o0YguM-g23htdsSw,20
28,UC9-y-6csu5WGm29I7JiwpnA,370
29,UCMT1Aw4R4nf_sFNDeuJqc6w,3251
30,UCHXa4OpASJEwrHrLeIzw7Yg,608
31,UCF-uUxo43IPpnEwnR62WGlA,162
32,UCWI-ohtRu8eEeDj93hmUsUQ,305
33,UCh8IuVJvRdporrHi-I9H7Vw,120
34,UCOMRpM5qmuNymhEaDe4Gkyw,58
35,UC2C_jShtL725hvbm1arSV9w,702
36,UCV8e2g4IWQqK71bbzGDEI4Q,64
37,UC9x0AN7BWHpCDHSm9NiJFJQ,115
38,UCtYLUTtgS3k1Fg4y5tAhLbw,522
39,UCsxJ9QfYa6qRbSA7TYnxk1A,325
40,UCJublDh2UsiIKsAE1553miw,549
41,UCnTwsAoqgyDVe5hxOmbMOiw,170
42,UCEKI_F16hUtBHcw9tBtr24Q,86
43,UCU5JicSrEM5A63jkJ2QvGYw,60
44,UCSHZKyawb77ixDdsGog4iWA,82
45,UC97qxGRmPsyfV0Miz7AxU2A,27
46,UCsh8qhZ4Wm2IJDRsNr_5Z0A,381
47,UCtslD4DGH6PKyG_1gFAX7sg,51
48,UCo7EHzKF2zDFWszw7Dg4mPw,266
49,UCR68xPzQK7Etq2YfJ6Oe_2A,98
50,UCLKZ20yD2tNMBOkSDZo4FeQ,149
51,UCQvDQMRwjUJauII1qe_XphA,26
52,UCzwhGJV9o4KTPD5Nq6GPeqQ,12
53,UCLEQMN2aaUD9VfBVPxG0IOg,160
54,UCn9Erjy00mpnWeLnRqhsA1g,202
55,UCnEHCrot2HkySxMTmDPhZyg,67
56,UCy5znSnfMsDwaLlROnZ7Qbg,45
57,UCwBhBDsqiQflTMLy2epbQVw,175
58,UCxladMszXan-jfgzyeIMyvw,39
59,UCgBncpylJ1kiVaPyP-PZauQ,208
60,UCJcA7xm3ktxCO9PdKTmqeUg,22
61,UC3iyLcDyYxk2nN7M5DsYaYQ,3
